Index,group,Product_Title,New Shrimp Title,UPC,brand,claim/raised,attribute,cook-state,meat type,flavor,cut type,marketing,ingredients,ingredients2,Feature Bullets,category,DescPrompt,BulletPrompt
1,1,Kroger® Beer Battered Shrimp 24 oz,Kroger® Beer Battered Shrimp,00011110900234,Kroger,,Beer Battered,,Shrimp,,,"11 g protein per serving.
See nutritional information for cholesterol and sodium content.
Contains a bioengineered food ingredient.
Where awesome meets affordable. Why choose between great taste and great price when you can have both? Kroger Brand products are made to exceed your expectations while fitting your budget.",,"Shrimp, Wheat Flour, Beer (Water, Hops, Rice, Malted Barley, Corn), Soybean Oil, Baking Powder (Sodium Aluminum Phosphate, Sodium Bicarbonate), Salt, Sugar, Palm Oil, Paprika Extract (for Color), Turmeric Extract (for Color) Whey, Sodium Tripolyphosphate.",Made with rich lager beer.,shrimp,"You are a world class marketing copywriter. Using 65 words or less, write a product description for a shrimp product. The product is Kroger® Beer Battered Shrimp. The target consumer is practical. Do not use words above a 8th grade education level. Use 65 words or less. Do not use an introductory sentence, but include the product name in the first sentence. Begin the first sentence with the product name. Do not embellish. Use national brand and other retailer private label product descriptions as reference. Mention suggestions for serving at occasions when possible. Use 4 sentences, the first sentence must begin with the product name. Do not mention ingredients not listed here: Shrimp, Wheat Flour, Beer (Water, Hops, Rice, Malted Barley, Corn), Soybean Oil, Baking Powder (Sodium Aluminum Phosphate, Sodium Bicarbonate), Salt, Sugar, Palm Oil, Paprika Extract (for Color), Turmeric Extract (for Color) Whey, Sodium Tripolyphosphate. Use this marketing message for reference: 11 g protein per serving.
See nutritional information for cholesterol and sodium content.
Contains a bioengineered food ingredient.
Where awesome meets affordable. Why choose between great taste and great price when you can have both? Kroger Brand products are made to exceed your expectations while fitting your budget.","Give me five succinct bullet points (no more than 12 words per bullet point) for Kroger® Beer Battered Shrimp. Use this info for writing the bullets: 11 g protein per serving.
See nutritional information for cholesterol and sodium content.
Contains a bioengineered food ingredient.
Where awesome meets affordable. Why choose between great taste and great price when you can have both? Kroger Brand products are made to exceed your expectations while fitting your budget. Made with rich lager beer.. Don't mention any ingredients not mentioned here: Shrimp, Wheat Flour, Beer (Water, Hops, Rice, Malted Barley, Corn), Soybean Oil, Baking Powder (Sodium Aluminum Phosphate, Sodium Bicarbonate), Salt, Sugar, Palm Oil, Paprika Extract (for Color), Turmeric Extract (for Color) Whey, Sodium Tripolyphosphate."
2,1,Kroger® Shrimp Cocktail 7 oz,Kroger® Cocktail Shrimp,00011110622952,Kroger,,,,Cocktail Shrimp,,,"Contains bioengineered food ingredients.
Ready to eat. Farm raised.",,"Shrimp, Water, Salt, Sodium Tripolyphosphate, (to Retain Moisture), Cocktail Sauce: Water, Prepared Horseradish (Horseradish, Distilled Vinegar, Water, Salt, Soybean Oil), Tomato Paste, Vinegar, Sugar, 2% or Less of the Following: Salt, Lemon Juice, Vegetable Juice (Color), Citric Acid.",,shrimp,"You are a world class marketing copywriter. Using 65 words or less, write a product description for a shrimp product. The product is Kroger® Cocktail Shrimp. The target consumer is practical. Do not use words above a 8th grade education level. Use 65 words or less. Do not use an introductory sentence, but include the product name in the first sentence. Begin the first sentence with the product name. Do not embellish. Use national brand and other retailer private label product descriptions as reference. Mention suggestions for serving at occasions when possible. Use 4 sentences, the first sentence must begin with the product name. Do not mention ingredients not listed here: Shrimp, Water, Salt, Sodium Tripolyphosphate, (to Retain Moisture), Cocktail Sauce: Water, Prepared Horseradish (Horseradish, Distilled Vinegar, Water, Salt, Soybean Oil), Tomato Paste, Vinegar, Sugar, 2% or Less of the Following: Salt, Lemon Juice, Vegetable Juice (Color), Citric Acid. Use this marketing message for reference: Contains bioengineered food ingredients.
Ready to eat. Farm raised.","Give me five succinct bullet points (no more than 12 words per bullet point) for Kroger® Cocktail Shrimp. Use this info for writing the bullets: Contains bioengineered food ingredients.
Ready to eat. Farm raised. . Don't mention any ingredients not mentioned here: Shrimp, Water, Salt, Sodium Tripolyphosphate, (to Retain Moisture), Cocktail Sauce: Water, Prepared Horseradish (Horseradish, Distilled Vinegar, Water, Salt, Soybean Oil), Tomato Paste, Vinegar, Sugar, 2% or Less of the Following: Salt, Lemon Juice, Vegetable Juice (Color), Citric Acid."
3,1,Kroger® Shrimp Cocktail with Cocktail Sauce 17 oz,Kroger® Cocktail Shrimp with Cocktail Sauce,00011110624840,Kroger,,,,Cocktail Shrimp with Cocktail Sauce,,,Ready to eat. Cooked tail on.,,"Shrimp, Water, Salt, Sodium Tripolyphosphate, Cocktail Sauce (Tomato Paste, Water, Sugar, Prepared Horseradish [Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor], Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate [Preservative], Sodium Benzoate [Preservative], Xanthan Gum, Horseradish Flavor, Pectinase, Red 40).",,shrimp,"You are a world class marketing copywriter. Using 65 words or less, write a product description for a shrimp product. The product is Kroger® Cocktail Shrimp with Cocktail Sauce. The target consumer is practical. Do not use words above a 8th grade education level. Use 65 words or less. Do not use an introductory sentence, but include the product name in the first sentence. Begin the first sentence with the product name. Do not embellish. Use national brand and other retailer private label product descriptions as reference. Mention suggestions for serving at occasions when possible. Use 4 sentences, the first sentence must begin with the product name. Do not mention ingredients not listed here: Shrimp, Water, Salt, Sodium Tripolyphosphate, Cocktail Sauce (Tomato Paste, Water, Sugar, Prepared Horseradish [Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor], Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate [Preservative], Sodium Benzoate [Preservative], Xanthan Gum, Horseradish Flavor, Pectinase, Red 40). Use this marketing message for reference: Ready to eat. Cooked tail on.","Give me five succinct bullet points (no more than 12 words per bullet point) for Kroger® Cocktail Shrimp with Cocktail Sauce. Use this info for writing the bullets: Ready to eat. Cooked tail on. . Don't mention any ingredients not mentioned here: Shrimp, Water, Salt, Sodium Tripolyphosphate, Cocktail Sauce (Tomato Paste, Water, Sugar, Prepared Horseradish [Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor], Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate [Preservative], Sodium Benzoate [Preservative], Xanthan Gum, Horseradish Flavor, Pectinase, Red 40)."
4,1,Kroger® Cocktail Shrimp with Sauce 20 ea,Kroger® Cocktail Shrimp with Sauce,00011110965646,Kroger,,,,Cocktail Shrimp with Sauce,,,Cooked in shell to seal in flavor. Farm Raised. Peeled & deveined.,,"Cooked Shrimp, Salt. Cocktail Sauce: Tomato Paste, Water, Sugar, Prepared Horseradish (Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor), Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Xanthan Gum, Horseradish Flavor, Pectinase, Red 40.",,shrimp,"You are a world class marketing copywriter. Using 65 words or less, write a product description for a shrimp product. The product is Kroger® Cocktail Shrimp with Sauce. The target consumer is practical. Do not use words above a 8th grade education level. Use 65 words or less. Do not use an introductory sentence, but include the product name in the first sentence. Begin the first sentence with the product name. Do not embellish. Use national brand and other retailer private label product descriptions as reference. Mention suggestions for serving at occasions when possible. Use 4 sentences, the first sentence must begin with the product name. Do not mention ingredients not listed here: Cooked Shrimp, Salt. Cocktail Sauce: Tomato Paste, Water, Sugar, Prepared Horseradish (Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor), Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Xanthan Gum, Horseradish Flavor, Pectinase, Red 40. Use this marketing message for reference: Cooked in shell to seal in flavor. Farm Raised. Peeled & deveined.","Give me five succinct bullet points (no more than 12 words per bullet point) for Kroger® Cocktail Shrimp with Sauce. Use this info for writing the bullets: Cooked in shell to seal in flavor. Farm Raised. Peeled & deveined. . Don't mention any ingredients not mentioned here: Cooked Shrimp, Salt. Cocktail Sauce: Tomato Paste, Water, Sugar, Prepared Horseradish (Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor), Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Xanthan Gum, Horseradish Flavor, Pectinase, Red 40."
5,1,Kroger® Cocktail Shrimp with Sauce 25.2 oz,Kroger® Cocktail Shrimp with Sauce,00011110988041,Kroger,,,,Cocktail Shrimp with Sauce,,,"60 count.
Peeled & deveined. Cooked in shell to seal flavor. Do not refreeze. The shrimp used in this product are farm-raised, harvested at the peak of freshness. The shrimp are cooked in their shells allowing them to maintain their distinct coloring and natural flavor. The vein is removed without cutting the meat to ensure a savory bite and great meaty texture. A generous serving of seafood cocktail sauce is included for your convenience.",,"Cooked Shrimp, Salt, Cocktail Sauce: Tomato Paste, Water, Sugar, Prepared Horseradish (Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor), Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Xanthan Gum, Horseradish Flavor, Pectinase, Red 40.",,shrimp,"You are a world class marketing copywriter. Using 65 words or less, write a product description for a shrimp product. The product is Kroger® Cocktail Shrimp with Sauce. The target consumer is practical. Do not use words above a 8th grade education level. Use 65 words or less. Do not use an introductory sentence, but include the product name in the first sentence. Begin the first sentence with the product name. Do not embellish. Use national brand and other retailer private label product descriptions as reference. Mention suggestions for serving at occasions when possible. Use 4 sentences, the first sentence must begin with the product name. Do not mention ingredients not listed here: Cooked Shrimp, Salt, Cocktail Sauce: Tomato Paste, Water, Sugar, Prepared Horseradish (Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor), Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Xanthan Gum, Horseradish Flavor, Pectinase, Red 40. Use this marketing message for reference: 60 count.
Peeled & deveined. Cooked in shell to seal flavor. Do not refreeze. The shrimp used in this product are farm-raised, harvested at the peak of freshness. The shrimp are cooked in their shells allowing them to maintain their distinct coloring and natural flavor. The vein is removed without cutting the meat to ensure a savory bite and great meaty texture. A generous serving of seafood cocktail sauce is included for your convenience.","Give me five succinct bullet points (no more than 12 words per bullet point) for Kroger® Cocktail Shrimp with Sauce. Use this info for writing the bullets: 60 count.
Peeled & deveined. Cooked in shell to seal flavor. Do not refreeze. The shrimp used in this product are farm-raised, harvested at the peak of freshness. The shrimp are cooked in their shells allowing them to maintain their distinct coloring and natural flavor. The vein is removed without cutting the meat to ensure a savory bite and great meaty texture. A generous serving of seafood cocktail sauce is included for your convenience. . Don't mention any ingredients not mentioned here: Cooked Shrimp, Salt, Cocktail Sauce: Tomato Paste, Water, Sugar, Prepared Horseradish (Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor), Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Xanthan Gum, Horseradish Flavor, Pectinase, Red 40."
6,1,Kroger® Cocktail Shrimp with Sauce 40 ea,Kroger® Cocktail Shrimp with Sauce,00011110964021,Kroger,,,,Cocktail Shrimp with Sauce,,,"Cooked in shell to seal a flavor. Peeled & deveined. Farm raised. The shrimp used in this product are farm-raised, harvested at the peak of freshness. The shrimp are cooked in their shells allowing them to maintain their distinct coloring and natural flavor. The vein is removed without cutting the meat to ensure a savory bite and great meaty texture. A generous serving of seafood cocktail sauce is included for your convenience.",,"Cooked Shrimp, Salt, Cocktail Sauce: Tomato Paste, Water, Sugar, Prepared Horseradish (Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor), Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Xanthan Gum, Horseradish Flavor, Pectinase, Red 40.",,shrimp,"You are a world class marketing copywriter. Using 65 words or less, write a product description for a shrimp product. The product is Kroger® Cocktail Shrimp with Sauce. The target consumer is practical. Do not use words above a 8th grade education level. Use 65 words or less. Do not use an introductory sentence, but include the product name in the first sentence. Begin the first sentence with the product name. Do not embellish. Use national brand and other retailer private label product descriptions as reference. Mention suggestions for serving at occasions when possible. Use 4 sentences, the first sentence must begin with the product name. Do not mention ingredients not listed here: Cooked Shrimp, Salt, Cocktail Sauce: Tomato Paste, Water, Sugar, Prepared Horseradish (Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor), Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Xanthan Gum, Horseradish Flavor, Pectinase, Red 40. Use this marketing message for reference: Cooked in shell to seal a flavor. Peeled & deveined. Farm raised. The shrimp used in this product are farm-raised, harvested at the peak of freshness. The shrimp are cooked in their shells allowing them to maintain their distinct coloring and natural flavor. The vein is removed without cutting the meat to ensure a savory bite and great meaty texture. A generous serving of seafood cocktail sauce is included for your convenience.","Give me five succinct bullet points (no more than 12 words per bullet point) for Kroger® Cocktail Shrimp with Sauce. Use this info for writing the bullets: Cooked in shell to seal a flavor. Peeled & deveined. Farm raised. The shrimp used in this product are farm-raised, harvested at the peak of freshness. The shrimp are cooked in their shells allowing them to maintain their distinct coloring and natural flavor. The vein is removed without cutting the meat to ensure a savory bite and great meaty texture. A generous serving of seafood cocktail sauce is included for your convenience. . Don't mention any ingredients not mentioned here: Cooked Shrimp, Salt, Cocktail Sauce: Tomato Paste, Water, Sugar, Prepared Horseradish (Horseradish, Water, Vinegar, Salt, Soybean Oil, Artificial Mustard Flavor), Vinegar, Salt, Granulated Onion and Garlic, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Xanthan Gum, Horseradish Flavor, Pectinase, Red 40."
7,1,Kroger® Crunchy Butterfly Shrimp 32 oz. Bag,Kroger® Crunchy Butterfly Shrimp,00011110963710,Kroger,,Crunchy Butterfly,,Shrimp,,,0,,"Shrimp, Wheat Flour, Soybean Oil, Water, Modified Corn Starch, Modified Tapioca Starch, Corn Flour, Salt, Sugar, Yeast, Sodium Acid Pyrophosphate, Sodium Bicarbonate, Spices, Xanthan Gum, Cellulose Gum, Sunflower Oil, Sodium Tripolyphosphate (to Retain Moisture).","Great for Surf & Turf,10 Servings,Resealable to Lock in Freshness",shrimp,"You are a world class marketing copywriter. Using 65 words or less, write a product description for a shrimp product. The product is Kroger® Crunchy Butterfly Shrimp. The target consumer is practical. Do not use words above a 8th grade education level. Use 65 words or less. Do not use an introductory sentence, but include the product name in the first sentence. Begin the first sentence with the product name. Do not embellish. Use national brand and other retailer private label product descriptions as reference. Mention suggestions for serving at occasions when possible. Use 4 sentences, the first sentence must begin with the product name. Do not mention ingredients not listed here: Shrimp, Wheat Flour, Soybean Oil, Water, Modified Corn Starch, Modified Tapioca Starch, Corn Flour, Salt, Sugar, Yeast, Sodium Acid Pyrophosphate, Sodium Bicarbonate, Spices, Xanthan Gum, Cellulose Gum, Sunflower Oil, Sodium Tripolyphosphate (to Retain Moisture).","Give me five succinct bullet points (no more than 12 words per bullet point) for Kroger® Crunchy Butterfly Shrimp. Use this info for writing the bullets: 0 Great for Surf & Turf,10 Servings,Resealable to Lock in Freshness. Don't mention any ingredients not mentioned here: Shrimp, Wheat Flour, Soybean Oil, Water, Modified Corn Starch, Modified Tapioca Starch, Corn Flour, Salt, Sugar, Yeast, Sodium Acid Pyrophosphate, Sodium Bicarbonate, Spices, Xanthan Gum, Cellulose Gum, Sunflower Oil, Sodium Tripolyphosphate (to Retain Moisture)."
8,1,Kroger® Crunchy Coconut Shrimp with a Sweet Chili Sauce 10 oz. Box,Kroger® Crunchy Coconut Shrimp with Sweet Chili Sauce,00011110963666,Kroger,,Crunchy Coconut,,Shrimp with Sweet Chili Sauce,,,Includes 2 oz. of Sauce,,"Coconut Shrimp—Shrimp, Coconut Flake, Wheat Flour, Soybean Oil, Water, Modified Tapioca Starch, Wheat Starch, Modified Corn Starch, Salt, Sugar, Dextrose, Yeast, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Artificial Flavor, Sunflower Oil, Sodium Tripolyphosphate (to Retain Moisture). Sauce—Sugar, Water, Vinegar, Garlic, Chili, Salt, Modified Corn Starch, Xanthan Gum, Spice.",Perfect as an Appetizer,shrimp,"You are a world class marketing copywriter. Using 65 words or less, write a product description for a shrimp product. The product is Kroger® Crunchy Coconut Shrimp with Sweet Chili Sauce. The target consumer is practical. Do not use words above a 8th grade education level. Use 65 words or less. Do not use an introductory sentence, but include the product name in the first sentence. Begin the first sentence with the product name. Do not embellish. Use national brand and other retailer private label product descriptions as reference. Mention suggestions for serving at occasions when possible. Use 4 sentences, the first sentence must begin with the product name. Do not mention ingredients not listed here: Coconut Shrimp—Shrimp, Coconut Flake, Wheat Flour, Soybean Oil, Water, Modified Tapioca Starch, Wheat Starch, Modified Corn Starch, Salt, Sugar, Dextrose, Yeast, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Artificial Flavor, Sunflower Oil, Sodium Tripolyphosphate (to Retain Moisture). Sauce—Sugar, Water, Vinegar, Garlic, Chili, Salt, Modified Corn Starch, Xanthan Gum, Spice. Use this marketing message for reference: Includes 2 oz. of Sauce","Give me five succinct bullet points (no more than 12 words per bullet point) for Kroger® Crunchy Coconut Shrimp with Sweet Chili Sauce. Use this info for writing the bullets: Includes 2 oz. of Sauce Perfect as an Appetizer. Don't mention any ingredients not mentioned here: Coconut Shrimp—Shrimp, Coconut Flake, Wheat Flour, Soybean Oil, Water, Modified Tapioca Starch, Wheat Starch, Modified Corn Starch, Salt, Sugar, Dextrose, Yeast, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Artificial Flavor, Sunflower Oil, Sodium Tripolyphosphate (to Retain Moisture). Sauce—Sugar, Water, Vinegar, Garlic, Chili, Salt, Modified Corn Starch, Xanthan Gum, Spice."
9,1,Kroger® Spicy Crunchy Nashville Style Hot Shrimp 12 oz,Kroger® Crunchy Nashville Style Shrimp Spicy,00011110183293,Kroger,,Crunchy Nashville Style,,Shrimp,Spicy,,"Hot shrimp with a spicy Nashville style sauce.
Contains bioengineered food ingredients.
Spicy change of pace. Where Awesome Meets Affordable: Why choose between great taste and great price when you can have both? Kroger Brand products are made to exceed your expectations while fitting your budget.",,"Shrimp, Unbleached Wheat Flour, Vegetable Oil (Contains One or More of the Following: Soybean, Corn and/or Cottonseed Oil), Water, Contains 2% or Less of: Tapioca Starch, Salt, Garlic Powder, Onion Powder, Sodium Tripolyphosphate (to Retain Moisture), Corn Starch, Spice, Sugar, Yeast, Malic Acid, Citric Acid, Calcium Chloride, Xanthan Gum, Sodium Bisulfite (as a Preservative). Nashville Hot Sauce: Water, Refined Soybean Oil, Liquid Shortening (Soybean Oil, Hydrogenated Soybean Oil, TBHQ, Citric Acid), Corn Syrup, Paprika, Distilled Vinegar, Spices, Salt, Brown Sugar, Garlic Powder, Soy Lecithin, Oleoresin Paprika, Lemon Juice Concentrate, Yeast Extract, Polysorbate 60, Xanthan Gum, Tocopherol and Natural Flavor.",,shrimp,"You are a world class marketing copywriter. Using 65 words or less, write a product description for a shrimp product. The product is Kroger® Crunchy Nashville Style Shrimp Spicy. The target consumer is practical. Do not use words above a 8th grade education level. Use 65 words or less. Do not use an introductory sentence, but include the product name in the first sentence. Begin the first sentence with the product name. Do not embellish. Use national brand and other retailer private label product descriptions as reference. Mention suggestions for serving at occasions when possible. Use 4 sentences, the first sentence must begin with the product name. Do not mention ingredients not listed here: Shrimp, Unbleached Wheat Flour, Vegetable Oil (Contains One or More of the Following: Soybean, Corn and/or Cottonseed Oil), Water, Contains 2% or Less of: Tapioca Starch, Salt, Garlic Powder, Onion Powder, Sodium Tripolyphosphate (to Retain Moisture), Corn Starch, Spice, Sugar, Yeast, Malic Acid, Citric Acid, Calcium Chloride, Xanthan Gum, Sodium Bisulfite (as a Preservative). Nashville Hot Sauce: Water, Refined Soybean Oil, Liquid Shortening (Soybean Oil, Hydrogenated Soybean Oil, TBHQ, Citric Acid), Corn Syrup, Paprika, Distilled Vinegar, Spices, Salt, Brown Sugar, Garlic Powder, Soy Lecithin, Oleoresin Paprika, Lemon Juice Concentrate, Yeast Extract, Polysorbate 60, Xanthan Gum, Tocopherol and Natural Flavor. Use this marketing message for reference: Hot shrimp with a spicy Nashville style sauce.
Contains bioengineered food ingredients.
Spicy change of pace. Where Awesome Meets Affordable: Why choose between great taste and great price when you can have both? Kroger Brand products are made to exceed your expectations while fitting your budget.","Give me five succinct bullet points (no more than 12 words per bullet point) for Kroger® Crunchy Nashville Style Shrimp Spicy. Use this info for writing the bullets: Hot shrimp with a spicy Nashville style sauce.
Contains bioengineered food ingredients.
Spicy change of pace. Where Awesome Meets Affordable: Why choose between great taste and great price when you can have both? Kroger Brand products are made to exceed your expectations while fitting your budget. . Don't mention any ingredients not mentioned here: Shrimp, Unbleached Wheat Flour, Vegetable Oil (Contains One or More of the Following: Soybean, Corn and/or Cottonseed Oil), Water, Contains 2% or Less of: Tapioca Starch, Salt, Garlic Powder, Onion Powder, Sodium Tripolyphosphate (to Retain Moisture), Corn Starch, Spice, Sugar, Yeast, Malic Acid, Citric Acid, Calcium Chloride, Xanthan Gum, Sodium Bisulfite (as a Preservative). Nashville Hot Sauce: Water, Refined Soybean Oil, Liquid Shortening (Soybean Oil, Hydrogenated Soybean Oil, TBHQ, Citric Acid), Corn Syrup, Paprika, Distilled Vinegar, Spices, Salt, Brown Sugar, Garlic Powder, Soy Lecithin, Oleoresin Paprika, Lemon Juice Concentrate, Yeast Extract, Polysorbate 60, Xanthan Gum, Tocopherol and Natural Flavor."
10,1,Kroger® Extra Large Tail-On Peeled & Deveined Cooked Shrimp 16 oz. Bag,Kroger® Extra Large Peeled & Deveined Cooked Shrimp Tail-On,00011110963970,Kroger,,Extra Large Peeled & Deveined,Cooked,Shrimp,,Tail-On,0,,"Shrimp, Salt, Sodium Tripolyphosphate (to Retain Moisture).",Resealable to Lock in Freshness,shrimp,"You are a world class marketing copywriter. Using 65 words or less, write a product description for a shrimp product. The product is Kroger® Extra Large Peeled & Deveined Cooked Shrimp Tail-On. The target consumer is practical. Do not use words above a 8th grade education level. Use 65 words or less. Do not use an introductory sentence, but include the product name in the first sentence. Begin the first sentence with the product name. Do not embellish. Use national brand and other retailer private label product descriptions as reference. Mention suggestions for serving at occasions when possible. Use 4 sentences, the first sentence must begin with the product name. Do not mention ingredients not listed here: Shrimp, Salt, Sodium Tripolyphosphate (to Retain Moisture).","Give me five succinct bullet points (no more than 12 words per bullet point) for Kroger® Extra Large Peeled & Deveined Cooked Shrimp Tail-On. Use this info for writing the bullets: 0 Resealable to Lock in Freshness. Don't mention any ingredients not mentioned here: Shrimp, Salt, Sodium Tripolyphosphate (to Retain Moisture)."
